Date,Forecast
2024-01-02,13452.26018406374
2024-01-03,13532.88890905051
2024-01-04,13042.80640035549
2024-01-05,12882.812668862292
2024-01-06,12866.99820949772
2024-01-07,13161.05672150879
2024-01-08,13177.708054187924
2024-01-09,13124.793535901465
2024-01-10,13041.602944295642
2024-01-11,13031.60695989874
2024-01-12,13063.62469385226
2024-01-13,13101.893414421582
2024-01-14,13094.545863187339
2024-01-15,13077.602594757736
2024-01-16,13066.938620914518
2024-01-17,13070.929859205926
2024-01-18,13079.168864597283
2024-01-19,13082.636806415727
2024-01-20,13079.28375907234
2024-01-21,13076.00706053445
2024-01-22,13075.419342373601
2024-01-23,13077.032001058793
2024-01-24,13078.364548615473
2024-01-25,13078.297822089844
2024-01-26,13077.458237738125
2024-01-27,13077.029666412023
2024-01-28,13077.194065977566
2024-01-29,13077.554890002124
2024-01-30,13077.686188708914
2024-01-31,13077.563339653705
